,0
0,0.5094352960586548
1,0.36387020349502563
2,0.32090237736701965
3,0.2760635018348694
4,0.26702970266342163
5,0.25212743878364563
6,0.240798681974411
7,0.2511187195777893
8,0.25912997126579285
9,0.24546460807323456
10,0.26516440510749817
11,0.27853283286094666
12,0.2951633930206299
13,0.323956161737442
14,0.3473743796348572
15,0.3929501175880432
16,0.45876774191856384
17,0.48627036809921265
18,0.4762202799320221
19,0.48329272866249084
20,0.5160845518112183
21,0.518278181552887
22,0.4367631673812866
23,0.5121520757675171
24,0.4717574119567871
25,0.48045679926872253
26,0.5188270807266235
27,0.49569910764694214
28,0.4927729070186615
29,0.4839867055416107
30,0.5522284507751465
31,0.4690818190574646
32,0.43660983443260193
33,0.4975418448448181
34,0.5497593283653259
35,0.6426650881767273
36,0.7330736517906189
37,0.8049513697624207
38,0.7813813090324402
39,0.7151225209236145
40,0.7414825558662415
41,0.7590744495391846
42,0.7718945145606995
43,0.7439719438552856
44,0.6822818517684937
45,0.6184304356575012
46,0.5859108567237854
47,0.5157800912857056
48,0.40452444553375244
49,0.3828895390033722
50,0.3294069766998291
51,0.3205350935459137
52,0.3229110538959503
53,0.3052089810371399
54,0.28657835721969604
55,0.2762964963912964
56,0.2814772427082062
57,0.280865341424942
58,0.29453983902931213
59,0.28463757038116455
60,0.33533596992492676
61,0.3152011036872864
62,0.3457077741622925
63,0.3998606503009796
64,0.4377051591873169
65,0.48147863149642944
66,0.5118435025215149
67,0.5651540160179138
68,0.5641978979110718
69,0.5770552158355713
70,0.5055002570152283
71,0.5023524761199951
72,0.5147018432617188
73,0.4972059726715088
74,0.5238328576087952
75,0.4678550064563751
76,0.45546576380729675
77,0.44302746653556824
78,0.4260729253292084
79,0.47383081912994385
80,0.5318554639816284
81,0.5709435939788818
82,0.675438642501831
83,0.7058195471763611
84,0.8019459843635559
85,0.816882848739624
86,0.8356832265853882
87,0.8125553131103516
88,0.8284476399421692
89,0.7890071868896484
90,0.7494860291481018
91,0.7331515550613403
92,0.6917470693588257
93,0.6277309656143188
94,0.5897830724716187
95,0.43036752939224243
96,0.3732559382915497
97,0.3375529646873474
98,0.285529226064682
99,0.2630784511566162
100,0.25188231468200684
101,0.25287100672721863
102,0.2556511163711548
103,0.2461267113685608
104,0.24523964524269104
105,0.24376127123832703
106,0.24366772174835205
107,0.24896572530269623
108,0.2812659740447998
109,0.29949307441711426
110,0.3271775245666504
111,0.3823523223400116
112,0.5280358195304871
113,0.531552255153656
114,0.5358939170837402
115,0.48805421590805054
116,0.5087725520133972
117,0.47917619347572327
118,0.4600773751735687
119,0.41782650351524353
120,0.4035088121891022
121,0.4219368100166321
122,0.3802568316459656
123,0.39761313796043396
124,0.41358715295791626
125,0.4313845634460449
126,0.4010731875896454
127,0.39849722385406494
128,0.40150099992752075
129,0.4717445969581604
130,0.5067030191421509
131,0.6662309169769287
132,0.7201551795005798
133,0.7446361780166626
134,0.7404584288597107
135,0.7159603834152222
136,0.7283470034599304
137,0.7060976624488831
138,0.7059823870658875
139,0.6894645690917969
140,0.6703798174858093
141,0.5784763097763062
142,0.5379151105880737
143,0.4855782687664032
144,0.37946465611457825
145,0.316499799489975
146,0.29029351472854614
147,0.268466979265213
148,0.2316800206899643
149,0.22410154342651367
150,0.23121634125709534
151,0.23251977562904358
152,0.23699308931827545
153,0.23969994485378265
154,0.24594441056251526
155,0.2505272626876831
156,0.26058247685432434
157,0.2897500991821289
158,0.3488765060901642
159,0.41299864649772644
160,0.5014461874961853
161,0.5362482666969299
162,0.5005106329917908
163,0.5073335766792297
164,0.48556289076805115
165,0.40196073055267334
166,0.4044131338596344
167,0.35200610756874084
168,0.3685980439186096
169,0.37269967794418335
170,0.4183677136898041
171,0.36567628383636475
172,0.40778133273124695
173,0.44784238934516907
174,0.467607706785202
175,0.44377821683883667
176,0.41448524594306946
177,0.4980471134185791
178,0.5606088638305664
179,0.6153301000595093
180,0.704835057258606
181,0.6786677837371826
182,0.7538474202156067
183,0.7752035856246948
184,0.7130297422409058
185,0.7384912967681885
186,0.7082521319389343
187,0.6950620412826538
188,0.6789262294769287
189,0.613160252571106
190,0.5342886447906494
191,0.4129289388656616
192,0.3539401888847351
193,0.30028027296066284
194,0.26970043778419495
195,0.26442751288414
196,0.2384827435016632
197,0.24174955487251282
198,0.22435100376605988
199,0.235149085521698
200,0.23344415426254272
201,0.236199751496315
202,0.2347642034292221
203,0.25011348724365234
204,0.27004319429397583
205,0.28773295879364014
206,0.35780012607574463
207,0.46411457657814026
208,0.5129055976867676
